,Year,AMOC
160,868.0,3.1103696972538573
161,869.0,3.1110342237285353
162,870.0,3.1118945018415842
163,871.0,3.1129195115955204
164,872.0,3.1140797468752734
165,873.0,3.115350531557012
166,874.0,3.1167107990897964
167,875.0,3.1181052378011915
168,876.0,3.119361562983589
169,877.0,3.1201217080848425
170,878.0,3.119872100152466
171,879.0,3.118131812058168
172,880.0,3.114751508588363
173,881.0,3.110073479178642
174,882.0,3.1047482868484653
175,883.0,3.0993930234415257
176,884.0,3.094412446351575
177,885.0,3.090028945881008
178,886.0,3.086365386589562
179,887.0,3.083471938974569
180,888.0,3.0813061096349945
181,889.0,3.079727510175027
182,890.0,3.0785357192136895
183,891.0,3.0775245876018507
184,892.0,3.0765241655200986
185,893.0,3.075420883791336
186,894.0,3.074160076529948
187,895.0,3.0727382444380025
188,896.0,3.071191298505744
189,897.0,3.069582814984418
190,898.0,3.067992347922208
191,899.0,3.0665004256784525
192,900.0,3.0651698041309374
193,901.0,3.06403169217751
194,902.0,3.0630869337180537
195,903.0,3.0623192495240077
196,904.0,3.061711770186627
197,905.0,3.061258323617322
198,906.0,3.06096411782617
199,907.0,3.0608383367463277
200,908.0,3.0608872914547165
201,909.0,3.0611137835931697
202,910.0,3.061520153096748
203,911.0,3.062107634981953
204,912.0,3.062869438044582
205,913.0,3.0637864251996176
206,914.0,3.0648357480178854
207,915.0,3.0660097389669603
208,916.0,3.06733195562452
209,917.0,3.068859892888289
210,918.0,3.0706711082593876
211,919.0,3.072836891229367
212,920.0,3.075394391422675
213,921.0,3.0783280143024405
214,922.0,3.0815658335436646
215,923.0,3.0849951903808446
216,924.0,3.0884963195624047
217,925.0,3.0919770903029122
218,926.0,3.095385716745424
219,927.0,3.098699395565658
220,928.0,3.1019067967090606
221,929.0,3.1049923652692164
222,930.0,3.107922848050364
223,931.0,3.11064432542693
224,932.0,3.1130934420709355
225,933.0,3.1152141059156304
226,934.0,3.116969463262556
227,935.0,3.1183458239293103
228,936.0,3.119349938104162
229,937.0,3.1200026269436916
230,938.0,3.120331764377592
231,939.0,3.120366875508239
232,940.0,3.1201365280429023
233,941.0,3.1196684220816104
234,942.0,3.1189912016127783
235,943.0,3.1181366785146194
236,944.0,3.117141267949766
237,945.0,3.1160459158603184
238,946.0,3.114894687631067
239,947.0,3.113733267408578
240,948.0,3.1126088336629243
241,949.0,3.1115717057206167
242,950.0,3.1106775982490458
243,951.0,3.1099880931080706
244,952.0,3.1095669527512713
245,953.0,3.1094719958532364
246,954.0,3.1097449705025197
247,955.0,3.110403434273574
248,956.0,3.1114379763880797
249,957.0,3.1128155667623947
250,958.0,3.114487470869568
251,959.0,3.116399123251124
252,960.0,3.118499693423194
253,961.0,3.1207501970670277
254,962.0,3.123129309047969
255,963.0,3.1256349423852776
256,964.0,3.1282799652031876
257,965.0,3.1310829483815716
258,966.0,3.1340569257922297
259,967.0,3.1371987150581258
260,968.0,3.140480514819212
261,969.0,3.1438464100874217
262,970.0,3.147217129800526
263,971.0,3.1505026818109862
264,972.0,3.1536161073564686
265,973.0,3.1564805136471
266,974.0,3.159028224908517
267,975.0,3.161196811635037
268,976.0,3.162927737394427
269,977.0,3.164170324096455
270,978.0,3.1648893784984393
271,979.0,3.165072528862649
272,980.0,3.1647337614402455
273,981.0,3.1639116609487905
274,982.0,3.1626634387218937
275,983.0,3.1610574822609947
276,984.0,3.159167045219761
277,985.0,3.1570663230041487
278,986.0,3.1548282055742187
279,987.0,3.152521751815824
280,988.0,3.15020767582897
281,989.0,3.1479316941217252
